Quadrature Results for zSQ from MSEP
From quad_test.jl:quad2() on 2023-02-14T12:59:42.584
clusterSize,sigma,mu,lambda,sumY,zBP,zSQ
5,0.5,-1.0,0.2,0,-0.5661389719804004,-0.8624476809428546
5,0.5,-1.0,0.2,1,-0.15678669301086556,-0.24460032725124015
5,0.5,-1.0,0.2,2,0.24563848847923123,0.35090110818284603
5,0.5,-1.0,0.2,3,0.64207509096707,0.928980994461998
5,0.5,-1.0,0.2,4,1.0336530578409342,1.4953117182145252
5,0.5,-1.0,0.2,5,1.421653035681179,2.0559923182592885
5,1.0,-1.0,0.2,0,-0.8202433257764427,-1.1383171084352939
5,1.0,-1.0,0.2,1,-0.23833816451859619,-0.3273973171835995
5,1.0,-1.0,0.2,2,0.28123465406314907,0.34030102535983664
5,1.0,-1.0,0.2,3,0.7643713110511464,0.9411724511401519
5,1.0,-1.0,0.2,4,1.235628688965619,1.5362803048388516
5,1.0,-1.0,0.2,5,1.7187653455950043,2.185140786416964
5,0.5,0.0,0.2,0,-0.9663469417144267,-1.4160810928627934
5,0.5,0.0,0.2,1,-0.5783469643316657,-0.8434117535837903
5,0.5,0.0,0.2,2,-0.1925366514035297,-0.2800879320137507
5,0.5,0.0,0.2,3,0.19253665140352963,0.28008793201375076
5,0.5,0.0,0.2,4,0.5783469643316657,0.8434117535837902
5,0.5,0.0,0.2,5,0.9663469417144269,1.416081092862793
5,1.0,0.0,0.2,0,-1.238338164518241,-1.6296192596801669
5,1.0,0.0,0.2,1,-0.7187653458915725,-0.9149360630448585
5,1.0,0.0,0.2,2,-0.23562868896259076,-0.29526755006669225
5,1.0,0.0,0.2,3,0.2356286889625907,0.29526755006669214
5,1.0,0.0,0.2,4,0.7187653458915725,0.9149360630448586
5,1.0,0.0,0.2,5,1.2383381645182405,1.6296192596801666
5,0.5,-1.0,0.4,0,-0.5661389719804004,-1.900779721368589
5,0.5,-1.0,0.4,1,-0.15678669301086556,-0.5514823319575386
5,0.5,-1.0,0.4,2,0.24563848847923123,0.6158236400382159
5,0.5,-1.0,0.4,3,0.64207509096707,1.686311549585462
5,0.5,-1.0,0.4,4,1.0336530578409342,2.735256072900125
5,0.5,-1.0,0.4,5,1.421653035681179,3.8349544114883276
5,1.0,-1.0,0.4,0,-0.8202433257764427,-2.0920892092474013
5,1.0,-1.0,0.4,1,-0.23833816451859619,-0.5332225447320404
5,1.0,-1.0,0.4,2,0.28123465406314907,0.43192042768300853
5,1.0,-1.0,0.4,3,0.7643713110511464,1.2395959124085658
5,1.0,-1.0,0.4,4,1.235628688965619,2.1098437332386606
5,1.0,-1.0,0.4,5,1.7187653455950043,3.3463004479107017
5,0.5,0.0,0.4,0,-0.9663469417144267,-2.803886848588305
5,0.5,0.0,0.4,1,-0.5783469643316657,-1.6073251051055506
5,0.5,0.0,0.4,2,-0.1925366514035297,-0.5237598608052181
5,0.5,0.0,0.4,3,0.19253665140352963,0.5237598608052183
5,0.5,0.0,0.4,4,0.5783469643316657,1.6073251051055506
5,0.5,0.0,0.4,5,0.9663469417144269,2.8038868485883057
5,1.0,0.0,0.4,0,-1.238338164518241,-2.6923418800863557
5,1.0,0.0,0.4,1,-0.7187653458915725,-1.3131028443194528
5,1.0,0.0,0.4,2,-0.23562868896259076,-0.4018714848633103
5,1.0,0.0,0.4,3,0.2356286889625907,0.40187148486331026
5,1.0,0.0,0.4,4,0.7187653458915725,1.3131028443194528
5,1.0,0.0,0.4,5,1.2383381645182405,2.692341880086355
7,0.5,-1.0,0.2,0,-0.7404166043610545,-1.0980544431098147
7,0.5,-1.0,0.2,1,-0.3545632683160856,-0.5257682146394869
7,0.5,-1.0,0.2,2,0.022918707243634512,0.020780964081974374
7,0.5,-1.0,0.2,3,0.3930021290032137,0.5462931496968852
7,0.5,-1.0,0.2,4,0.7568260850355885,1.0559425137428493
7,0.5,-1.0,0.2,5,1.1156589051045493,1.5551324776036946
7,0.5,-1.0,0.2,6,1.4708636071639303,2.0493560995997857
7,0.5,-1.0,0.2,7,1.82386721047643,2.5441318712519227
7,1.0,-1.0,0.2,0,-0.9908384562103097,-1.3341916363658717
7,1.0,-1.0,0.2,1,-0.4633784126853733,-0.6014774141615491
7,1.0,-1.0,0.2,2,-0.0022108093017720034,-0.01568666859870478
7,1.0,-1.0,0.2,3,0.41505633694718214,0.48798980822925786
7,1.0,-1.0,0.2,4,0.8076600289892786,0.9540973494966868
7,1.0,-1.0,0.2,5,1.1923399708960494,1.4169657000194973
7,1.0,-1.0,0.2,6,1.5849436672210675,1.910037776303631
7,1.0,-1.0,0.2,7,2.00221080951443,2.475000909836558
7,0.5,0.0,0.2,0,-1.2431739143226535,-1.7667720277613388
7,0.5,0.0,0.2,1,-0.8843410950687167,-1.248242961656096
7,0.5,0.0,0.2,2,-0.5291363849333173,-0.7434329350798944
7,0.5,0.0,0.2,3,-0.17613289260995016,-0.24689095213418152
7,0.5,0.0,0.2,4,0.17613289260995013,0.24689095213418144
7,0.5,0.0,0.2,5,0.5291363849333173,0.7434329350798942
7,0.5,0.0,0.2,6,0.8843410950687164,1.248242961656096
7,0.5,0.0,0.2,7,1.2431739143226532,1.7667720277613388
7,1.0,0.0,0.2,0,-1.4633784126967013,-1.8724532538885323
7,1.0,0.0,0.2,1,-1.0022108090384552,-1.2370729231421074
7,1.0,0.0,0.2,2,-0.5849436647231514,-0.7068160889404336
7,1.0,0.0,0.2,3,-0.19233997105706688,-0.23014880033382978
7,1.0,0.0,0.2,4,0.1923399710570668,0.2301488003338297
7,1.0,0.0,0.2,5,0.5849436647231512,0.7068160889404336
7,1.0,0.0,0.2,6,1.002210809038455,1.2370729231421078
7,1.0,0.0,0.2,7,1.4633784126967018,1.8724532538885321
7,0.5,-1.0,0.4,0,-0.7404166043610545,-2.265470172951855
7,0.5,-1.0,0.4,1,-0.3545632683160856,-1.0452806229300469
7,0.5,-1.0,0.4,2,0.022918707243634512,-0.015373056340483878
7,0.5,-1.0,0.4,3,0.3930021290032137,0.8970334192800433
7,0.5,-1.0,0.4,4,0.7568260850355885,1.7490169803381104
7,0.5,-1.0,0.4,5,1.1156589051045493,2.5876750398551986
7,0.5,-1.0,0.4,6,1.4708636071639303,3.457785842265891
7,0.5,-1.0,0.4,7,1.82386721047643,4.409541225270541
7,1.0,-1.0,0.4,0,-0.9908384562103097,-2.322012570689629
7,1.0,-1.0,0.4,1,-0.4633784126853733,-0.8923840653253595
7,1.0,-1.0,0.4,2,-0.0022108093017720034,-0.047596082494215854
7,1.0,-1.0,0.4,3,0.41505633694718214,0.5934010683801029
7,1.0,-1.0,0.4,4,0.8076600289892786,1.1726576484575442
7,1.0,-1.0,0.4,5,1.1923399708960494,1.7771070953092687
7,1.0,-1.0,0.4,6,1.5849436672210675,2.514896435150057
7,1.0,-1.0,0.4,7,2.00221080951443,3.633229571111151
7,0.5,0.0,0.4,0,-1.2431739143226535,-3.2714788130764396
7,0.5,0.0,0.4,1,-0.8843410950687167,-2.2098709643140175
7,0.5,0.0,0.4,2,-0.5291363849333173,-1.2789787809126618
7,0.5,0.0,0.4,3,-0.17613289260995016,-0.4188889477647642
7,0.5,0.0,0.4,4,0.17613289260995013,0.41888894776476443
